"Quantity","Name","RefDes","Value"
"2","CAP_0603","C1, C2","2.2uF"
"1","CAP_0603","C3","4.7uF"
"1","CAP_0603","C4","0.1u"
"1","SMAJ16CA","D1",""
"1","B130-13-F","D2",""
"2","SMAJ8","D3, D4",""
"4","FUSE","F1, F2, F3, F4","?0ZCH0010FF2E?"
"1","EDSTLZ950/2","J1",""
"1","SSM3K37FS","Q1",""
"3","RES_0603","R1, R2, R4","6.8"
"1","RES_0805","R3","1.5k"
"2","RES_0603","R5, R8","4.7k"
"2","RES_0603","R6, R10","1k"
"1","RES_0603","R7","22k"
"1","RES_0603","R9","2.4M"
"1","LT6015IS5","U1",""
"1","STM8S001J3M3","U2",""
"1","?S3B-XH","U3",""
"1","TC2030-MCP","U4",""
"1","SPX1117","U5",""
